"id","name","supertype","hp","types","evolvesTo","evolvesFrom","number","artist","rarity","flavorText","nationalPokedexNumbers","regulationMark","imageSmall","imageLarge","legalitiesUnlimited","legalitiesStandard","legalitiesExpanded","retreatCost","convertedRetreatCost","Ability1Name","Ability1Text","Ability1Type","Ability2Name","Ability2Text","Ability2Type","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text"
"gym1-56","Misty's Starmie","Pokémon","80","Water","","Misty's Staryu","56","Ken Sugimori","Uncommon",,"121",,"https://images.pokemontcg.io/gym1/56.png","https://images.pokemontcg.io/gym1/56_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Water Gun","Water","1","10+","Does 10 damage plus 10 more damage for each Water Energy attached to Misty's Starmie but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","Bubblebeam","Water, Water, Water","3","30","Flip a coin. If heads, the Defending Pokémon is now Paralyzed."
"gym1-57","Misty's Tentacool","Pokémon","50","Water","Tentacruel",,"57","Ken Sugimori","Uncommon",,"72",,"https://images.pokemontcg.io/gym1/57.png","https://images.pokemontcg.io/gym1/57_hires.png","Legal",,,"Colorless","1","","","","","","","Crystal Beam","Water, Colorless","2","20","Flip a coin. If heads, your opponent can't attach Energy cards to the Defending Pokémon during his or her next turn.","","","","",""
"gym1-58","Sabrina's Haunter","Pokémon","50","Psychic","Gengar","Sabrina's Gastly","58","Atsuko Nishida","Uncommon",,"93",,"https://images.pokemontcg.io/gym1/58.png","https://images.pokemontcg.io/gym1/58_hires.png","Legal",,,"",,"","","","","","","Night Spirits","Psychic, Psychic","2","30×","Flip a number of coins equal to the total number of Sabrina's Gastlys, Sabrina's Haunters, and Sabrina's Gengars you have in play. This attack does 30 damage times the number of heads.","","","","",""
"gym1-59","Sabrina's Jynx","Pokémon","60","Psychic","",,"59","Ken Sugimori","Uncommon",,"124",,"https://images.pokemontcg.io/gym1/59.png","https://images.pokemontcg.io/gym1/59_hires.png","Legal",,,"Colorless","1","","","","","","","Good Night","Psychic","1","10","The Defending Pokémon is now Asleep.","Good Morning","Psychic, Colorless","2","20","If the Defending Pokémon was Asleep, it is no longer Asleep."
"gym1-60","Sabrina's Slowbro","Pokémon","70","Psychic","","Sabrina's Slowpoke","60","Ken Sugimori","Uncommon",,"80",,"https://images.pokemontcg.io/gym1/60.png","https://images.pokemontcg.io/gym1/60_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Naptime","Psychic","1","","Flip a coin. If heads, remove 3 damage counters from Sabrina's Slowbro and Sabrina's Slowbro is now Asleep. If Sabrina's Slowbro has fewer damage counters than that, remove all of them.","Screaming Headbutt","Psychic, Colorless, Colorless","3","40","You can't use this attack during your next turn."
"gym1-61","Blaine's Charmander","Pokémon","50","Fire","Charmeleon",,"61","Ken Sugimori","Common",,"4",,"https://images.pokemontcg.io/gym1/61.png","https://images.pokemontcg.io/gym1/61_hires.png","Legal",,,"Colorless","1","","","","","","","Kindle","Fire","1","10","Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.","Slash","Colorless, Colorless","2","20",""
"gym1-62","Blaine's Growlithe","Pokémon","50","Fire","Arcanine",,"62","Atsuko Nishida","Common",,"58",,"https://images.pokemontcg.io/gym1/62.png","https://images.pokemontcg.io/gym1/62_hires.png","Legal",,,"Colorless","1","","","","","","","Blaze","Fire, Fire","2","20","Does 10 damage to each Grass Pokémon on your opponent's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.)","","","","",""
"gym1-63","Blaine's Ponyta","Pokémon","40","Fire","Rapidash",,"63","Ken Sugimori","Common",,"77",,"https://images.pokemontcg.io/gym1/63.png","https://images.pokemontcg.io/gym1/63_hires.png","Legal",,,"",,"","","","","","","Agility","Fire, Colorless","2","20","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.","","","","",""
"gym1-64","Blaine's Tauros","Pokémon","70","Colorless","",,"64","Ken Sugimori","Common",,"128",,"https://images.pokemontcg.io/gym1/64.png","https://images.pokemontcg.io/gym1/64_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","3-Pronged Tail","Colorless","1","10×","Flip 3 coins. This attack does 10 damage times the number of heads.","Full Speed Charge","Colorless, Colorless, Colorless","3","20×","Flip 4 coins. This attack does 20 damage times the number of heads to the Defending Pokémon and 20 damage times the number of tails to Blaine's Tauros."
"gym1-65","Blaine's Vulpix","Pokémon","40","Fire","Ninetales",,"65","Ken Sugimori","Common",,"37",,"https://images.pokemontcg.io/gym1/65.png","https://images.pokemontcg.io/gym1/65_hires.png","Legal",,,"Colorless","1","Natural Healing","Once during your turn (before your attack), you may remove 1 damage counter from Blaine's Vulpix. This power can't be used if Blaine's Vulpix is Asleep, Confused, or Paralyzed.","Pokémon Power","","","","Tail Fan","Fire, Colorless, Colorless","3","20","Flip a coin. If heads, the Defending Pokémon is now Confused.","","","","",""
"gym1-66","Brock's Geodude","Pokémon","40","Fighting","Graveler",,"66","Ken Sugimori","Common",,"74",,"https://images.pokemontcg.io/gym1/66.png","https://images.pokemontcg.io/gym1/66_hires.png","Legal",,,"Colorless","1","","","","","","","Call for Friend","Fighting","1","","Flip a coin. If heads, you may search your deck for a Basic Pokémon card with Brock in its name and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)","Hook Shot","Fighting, Colorless","2","20","Don't apply Resistance for this attack. (Any other effects that would happen after applying Resistance still happen.)"
"gym1-67","Brock's Mankey","Pokémon","40","Fighting","Primeape",,"67","Atsuko Nishida","Common",,"56",,"https://images.pokemontcg.io/gym1/67.png","https://images.pokemontcg.io/gym1/67_hires.png","Legal",,,"",,"","","","","","","Taunt","Colorless","1","","If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon.","Light Kick","Fighting","1","10",""
"gym1-68","Brock's Mankey","Pokémon","40","Fighting","Primeape",,"68","Ken Sugimori","Common",,"56",,"https://images.pokemontcg.io/gym1/68.png","https://images.pokemontcg.io/gym1/68_hires.png","Legal",,,"",,"","","","","","","Fidget","Colorless","1","","Shuffle your deck.","Karate Chop","Fighting, Colorless","2","40-","Does 40 damage minus 10 damage for each damage counter on Brock's Mankey."
"gym1-69","Brock's Onix","Pokémon","100","Fighting","Steelix",,"69","Ken Sugimori","Common",,"95",,"https://images.pokemontcg.io/gym1/69.png","https://images.pokemontcg.io/gym1/69_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Bellow","Colorless","1","","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Rock Throw","Fighting, Fighting, Colorless","3","30",""
"gym1-70","Brock's Rhyhorn","Pokémon","70","Fighting","Rhydon",,"70","Ken Sugimori","Common",,"111",,"https://images.pokemontcg.io/gym1/70.png","https://images.pokemontcg.io/gym1/70_hires.png","Legal",,,"Colorless, Colorless, Colorless","3","","","","","","","Drill Tackle","Fighting, Colorless","2","70","Flip 2 coins. If 1 or both of them are tails, this attack does nothing.","","","","",""
"gym1-71","Brock's Sandshrew","Pokémon","40","Fighting","Sandslash",,"71","Ken Sugimori","Common",,"27",,"https://images.pokemontcg.io/gym1/71.png","https://images.pokemontcg.io/gym1/71_hires.png","Legal",,,"Colorless","1","","","","","","","Defense Curl","Colorless","1","","Flip a coin. If heads, prevent all damage done to Brock's Sandshrew during your opponent's next turn. (Any other effects of attacks still happen.)","Rolling Attack","Fighting, Colorless","2","20",""
"gym1-72","Brock's Sandshrew","Pokémon","50","Fighting","Sandslash",,"72","Ken Sugimori","Common",,"27",,"https://images.pokemontcg.io/gym1/72.png","https://images.pokemontcg.io/gym1/72_hires.png","Legal",,,"Colorless","1","","","","","","","Sand Pit","Fighting, Fighting","2","20","The Defending Pokémon can't retreat during your opponent's next turn.","","","","",""
"gym1-73","Brock's Vulpix","Pokémon","40","Fire","Ninetales",,"73","Ken Sugimori","Common",,"37",,"https://images.pokemontcg.io/gym1/73.png","https://images.pokemontcg.io/gym1/73_hires.png","Legal",,,"Colorless","1","","","","","","","Flame","Fire","1","20","","Quick Attack","Colorless, Colorless","2","10+","Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage."
"gym1-74","Brock's Zubat","Pokémon","40","Grass","Golbat",,"74","Atsuko Nishida","Common",,"41",,"https://images.pokemontcg.io/gym1/74.png","https://images.pokemontcg.io/gym1/74_hires.png","Legal",,,"",,"","","","","","","Wing Attack","Colorless","1","10","","Poison Fang","Grass, Colorless","2","20","Flip a coin. If heads, the Defending Pokémon is now Poisoned."
"gym1-75","Erika's Bellsprout","Pokémon","40","Grass","Weepinbell",,"75","Atsuko Nishida","Common",,"69",,"https://images.pokemontcg.io/gym1/75.png","https://images.pokemontcg.io/gym1/75_hires.png","Legal",,,"Colorless","1","","","","","","","Poison Vine","Grass","1","10","Flip a coin. If heads, the Defending Pokémon is now Poisoned.","Vine Whip","Grass, Grass","2","30",""
"gym1-76","Erika's Bellsprout","Pokémon","50","Grass","Weepinbell",,"76","Ken Sugimori","Common",,"69",,"https://images.pokemontcg.io/gym1/76.png","https://images.pokemontcg.io/gym1/76_hires.png","Legal",,,"Colorless","1","","","","","","","Careless Tackle","Colorless","1","20","Erika's Bellsprout does 10 damage to itself.","","","","",""
"gym1-77","Erika's Exeggcute","Pokémon","40","Grass","Exeggutor",,"77","Ken Sugimori","Common",,"102",,"https://images.pokemontcg.io/gym1/77.png","https://images.pokemontcg.io/gym1/77_hires.png","Legal",,,"Colorless","1","","","","","","","Eggsplosion","Colorless","1","10×","Flip a number of coins equal to the number of Energy attached to Erika's Exeggcute. This attack does 10 damage times the number of heads.","Psychic","Psychic, Colorless","2","10+","Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon."
"gym1-78","Erika's Oddish","Pokémon","50","Grass","Gloom",,"78","Ken Sugimori","Common",,"43",,"https://images.pokemontcg.io/gym1/78.png","https://images.pokemontcg.io/gym1/78_hires.png","Legal",,,"Colorless","1","","","","","","","Blot","Grass","1","10","If there are any damage counters on Erika's Oddish, remove 1 of them.","Sporadic Sponging","Grass, Colorless","2","20","If Erika's Oddish has any damage counters on it, flip a coin. If heads, remove 1 of those damage counters."
"gym1-79","Erika's Tangela","Pokémon","60","Grass","Tangrowth",,"79","Ken Sugimori","Common",,"114",,"https://images.pokemontcg.io/gym1/79.png","https://images.pokemontcg.io/gym1/79_hires.png","Legal",,,"Colorless, Colorless","2","","","","","","","Vine Slap","Grass","1","10","","Stretch Vine","Grass, Grass, Colorless","3","","If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)"
"gym1-80","Lt. Surge's Magnemite","Pokémon","40","Lightning","Magneton",,"80","Ken Sugimori","Common",,"81",,"https://images.pokemontcg.io/gym1/80.png","https://images.pokemontcg.io/gym1/80_hires.png","Legal",,,"Colorless","1","","","","","","","Thundershock","Lightning","1","10","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.","Tackle","Colorless, Colorless","2","20",""
"gym1-81","Lt. Surge's Pikachu","Pokémon","50","Lightning","Raichu",,"81","Ken Sugimori","Common",,"25",,"https://images.pokemontcg.io/gym1/81.png","https://images.pokemontcg.io/gym1/81_hires.png","Legal",,,"Colorless","1","","","","","","","Charge","Colorless","1","","Take 1 Lightning Energy card from your discard pile and attach it to Lt. Surge's Pikachu.","Lightning Tail","Lightning, Lightning","2","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed."
"gym1-82","Lt. Surge's Rattata","Pokémon","40","Colorless","Raticate",,"82","Ken Sugimori","Common",,"19",,"https://images.pokemontcg.io/gym1/82.png","https://images.pokemontcg.io/gym1/82_hires.png","Legal",,,"Colorless","1","","","","","","","Focus Energy","Colorless","1","","During your next turn, Lt. Surge's Rattata's Gnaw attack's base damage is doubled.","Gnaw","Colorless, Colorless","2","20",""
"gym1-83","Lt. Surge's Spearow","Pokémon","50","Colorless","Fearow",,"83","Atsuko Nishida","Common",,"21",,"https://images.pokemontcg.io/gym1/83.png","https://images.pokemontcg.io/gym1/83_hires.png","Legal",,,"",,"","","","","","","Whirlwind","Colorless","1","10","If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)","Razor Wind","Colorless, Colorless","2","40","Flip a coin. If tails, this attack does nothing."
"gym1-84","Lt. Surge's Voltorb","Pokémon","40","Lightning","Electrode",,"84","Ken Sugimori","Common",,"100",,"https://images.pokemontcg.io/gym1/84.png","https://images.pokemontcg.io/gym1/84_hires.png","Legal",,,"Colorless","1","","","","","","","Spin Ball","Lightning","1","20×","Flip 1 coin. This attack does 20 damage times the number of heads.","Double Spin","Lightning, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads."
"gym1-85","Misty's Goldeen","Pokémon","40","Water","Seaking",,"85","Atsuko Nishida","Common",,"118",,"https://images.pokemontcg.io/gym1/85.png","https://images.pokemontcg.io/gym1/85_hires.png","Legal",,,"Colorless","1","","","","","","","Fury Attack","Colorless","1","10×","Flip 2 coins. This attack does 10 damage times the number of heads.","Supersonic","Water","1","","Flip a coin. If heads, the Defending Pokémon is now Confused."
"gym1-86","Misty's Horsea","Pokémon","40","Water","Seadra",,"86","Ken Sugimori","Common",,"116",,"https://images.pokemontcg.io/gym1/86.png","https://images.pokemontcg.io/gym1/86_hires.png","Legal",,,"",,"","","","","","","Tackle","Water","1","10","","Smokescreen","Water, Water","2","20","If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing."
"gym1-87","Misty's Poliwag","Pokémon","50","Water","Poliwhirl",,"87","Ken Sugimori","Common",,"60",,"https://images.pokemontcg.io/gym1/87.png","https://images.pokemontcg.io/gym1/87_hires.png","Legal",,,"Colorless","1","","","","","","","Hypnotic Stare","Water","1","","Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, the Defending Pokémon is now Asleep.","Tail Rap","Water, Colorless","2","20×","Flip 2 coins. This attack does 20 damage times the number of heads."
"gym1-88","Misty's Seel","Pokémon","60","Water","Dewgong",,"88","Atsuko Nishida","Common",,"86",,"https://images.pokemontcg.io/gym1/88.png","https://images.pokemontcg.io/gym1/88_hires.png","Legal",,,"Colorless","1","","","","","","","Aurora Beam","Water, Colorless","2","20","","","","","",""
"gym1-89","Misty's Shellder","Pokémon","40","Water","Cloyster",,"89","Ken Sugimori","Common",,"90",,"https://images.pokemontcg.io/gym1/89.png","https://images.pokemontcg.io/gym1/89_hires.png","Legal",,,"Colorless","1","","","","","","","Tackle","Colorless","1","10","","Clamp","Water, Colorless","2","20","Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage)."
"gym1-90","Misty's Staryu","Pokémon","50","Water","Starmie",,"90","Ken Sugimori","Common",,"120",,"https://images.pokemontcg.io/gym1/90.png","https://images.pokemontcg.io/gym1/90_hires.png","Legal",,,"Colorless","1","","","","","","","Swift","Water, Colorless","2","20","This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.","","","","",""
"gym1-91","Sabrina's Abra","Pokémon","40","Psychic","Kadabra",,"91","Ken Sugimori","Common",,"63",,"https://images.pokemontcg.io/gym1/91.png","https://images.pokemontcg.io/gym1/91_hires.png","Legal",,,"",,"","","","","","","Energy Loop","Psychic","1","20","Return a Psychic Energy card attached to Sabrina's Abra to your hand in order to use this attack.","","","","",""
"gym1-92","Sabrina's Drowzee","Pokémon","50","Psychic","Hypno",,"92","Atsuko Nishida","Common",,"96",,"https://images.pokemontcg.io/gym1/92.png","https://images.pokemontcg.io/gym1/92_hires.png","Legal",,,"Colorless","1","","","","","","","Suggestion","Psychic","1","","Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.","Headbutt","Colorless, Colorless","2","20",""
"gym1-93","Sabrina's Gastly","Pokémon","50","Psychic","Haunter",,"93","Ken Sugimori","Common",,"92",,"https://images.pokemontcg.io/gym1/93.png","https://images.pokemontcg.io/gym1/93_hires.png","Legal",,,"Colorless","1","","","","","","","Spook","Psychic, Colorless","2","20","The Defending Pokémon can't retreat during your opponent's next turn.","","","","",""
"gym1-94","Sabrina's Mr. Mime","Pokémon","50","Psychic","",,"94","Ken Sugimori","Common",,"122",,"https://images.pokemontcg.io/gym1/94.png","https://images.pokemontcg.io/gym1/94_hires.png","Legal",,,"Colorless","1","","","","","","","Sleight of Hand","Colorless","1","","Choose up to 3 cards from your hand and put them on top of your deck. Then search your deck for that many basic Energy cards. Show those cards to your opponent, then put them into your hand. Shuffle your deck afterward.","Slap","Psychic, Colorless","2","20",""
"gym1-95","Sabrina's Slowpoke","Pokémon","50","Psychic","Slowbro, Slowking",,"95","Ken Sugimori","Common",,"79",,"https://images.pokemontcg.io/gym1/95.png","https://images.pokemontcg.io/gym1/95_hires.png","Legal",,,"Colorless","1","","","","","","","Lazy Attack","Psychic, Colorless","2","30","Sabrina's Slowpoke is now Asleep (after doing damage).","","","","",""
"gym1-96","Sabrina's Venonat","Pokémon","40","Grass","Venomoth",,"96","Ken Sugimori","Common",,"48",,"https://images.pokemontcg.io/gym1/96.png","https://images.pokemontcg.io/gym1/96_hires.png","Legal",,,"Colorless","1","","","","","","","Poison Antennae","Grass","1","","The Defending Pokémon is now Poisoned.","Removal Beam","Psychic, Colorless","2","20","If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it."
"gym1-97","Blaine's Quiz #1","Trainer",,"","",,"97","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/97.png","https://images.pokemontcg.io/gym1/97_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-98","Brock","Trainer",,"","",,"98","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/98.png","https://images.pokemontcg.io/gym1/98_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-99","Charity","Trainer",,"","",,"99","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/99.png","https://images.pokemontcg.io/gym1/99_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-100","Erika","Trainer",,"","",,"100","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/100.png","https://images.pokemontcg.io/gym1/100_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-101","Lt. Surge","Trainer",,"","",,"101","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/101.png","https://images.pokemontcg.io/gym1/101_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-102","Misty","Trainer",,"","",,"102","Ken Sugimori","Rare",,"",,"https://images.pokemontcg.io/gym1/102.png","https://images.pokemontcg.io/gym1/102_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-103","No Removal Gym","Trainer",,"","",,"103","Keiji Kinebuchi","Rare",,"",,"https://images.pokemontcg.io/gym1/103.png","https://images.pokemontcg.io/gym1/103_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-104","The Rocket's Training Gym","Trainer",,"","",,"104","Keiji Kinebuchi","Rare",,"",,"https://images.pokemontcg.io/gym1/104.png","https://images.pokemontcg.io/gym1/104_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-105","Blaine's Last Resort","Trainer",,"","",,"105","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/105.png","https://images.pokemontcg.io/gym1/105_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-106","Brock's Training Method","Trainer",,"","",,"106","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/106.png","https://images.pokemontcg.io/gym1/106_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-107","Celadon City Gym","Trainer",,"","",,"107","Keiji Kinebuchi","Uncommon",,"",,"https://images.pokemontcg.io/gym1/107.png","https://images.pokemontcg.io/gym1/107_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-108","Cerulean City Gym","Trainer",,"","",,"108","Keiji Kinebuchi","Uncommon",,"",,"https://images.pokemontcg.io/gym1/108.png","https://images.pokemontcg.io/gym1/108_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-109","Erika's Maids","Trainer",,"","",,"109","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/109.png","https://images.pokemontcg.io/gym1/109_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-110","Erika's Perfume","Trainer",,"","",,"110","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/110.png","https://images.pokemontcg.io/gym1/110_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-111","Good Manners","Trainer",,"","",,"111","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/111.png","https://images.pokemontcg.io/gym1/111_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-112","Lt. Surge's Treaty","Trainer",,"","",,"112","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/112.png","https://images.pokemontcg.io/gym1/112_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-113","Minion of Team Rocket","Trainer",,"","",,"113","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/113.png","https://images.pokemontcg.io/gym1/113_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-114","Misty's Wrath","Trainer",,"","",,"114","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/114.png","https://images.pokemontcg.io/gym1/114_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-115","Pewter City Gym","Trainer",,"","",,"115","Keiji Kinebuchi","Uncommon",,"",,"https://images.pokemontcg.io/gym1/115.png","https://images.pokemontcg.io/gym1/115_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-116","Recall","Trainer",,"","",,"116","Sumiyoshi Kizuki","Uncommon",,"",,"https://images.pokemontcg.io/gym1/116.png","https://images.pokemontcg.io/gym1/116_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-117","Sabrina's ESP","Trainer",,"","",,"117","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/117.png","https://images.pokemontcg.io/gym1/117_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-118","Secret Mission","Trainer",,"","",,"118","Ken Sugimori","Uncommon",,"",,"https://images.pokemontcg.io/gym1/118.png","https://images.pokemontcg.io/gym1/118_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-119","Tickling Machine","Trainer",,"","",,"119","Sumiyoshi Kizuki","Uncommon",,"",,"https://images.pokemontcg.io/gym1/119.png","https://images.pokemontcg.io/gym1/119_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-120","Vermilion City Gym","Trainer",,"","",,"120","Keiji Kinebuchi","Uncommon",,"",,"https://images.pokemontcg.io/gym1/120.png","https://images.pokemontcg.io/gym1/120_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-121","Blaine's Gamble","Trainer",,"","",,"121","Ken Sugimori","Common",,"",,"https://images.pokemontcg.io/gym1/121.png","https://images.pokemontcg.io/gym1/121_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-122","Energy Flow","Trainer",,"","",,"122","Keiji Kinebuchi","Common",,"",,"https://images.pokemontcg.io/gym1/122.png","https://images.pokemontcg.io/gym1/122_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-123","Misty's Duel","Trainer",,"","",,"123","Ken Sugimori","Common",,"",,"https://images.pokemontcg.io/gym1/123.png","https://images.pokemontcg.io/gym1/123_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-124","Narrow Gym","Trainer",,"","",,"124","Keiji Kinebuchi","Common",,"",,"https://images.pokemontcg.io/gym1/124.png","https://images.pokemontcg.io/gym1/124_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-125","Sabrina's Gaze","Trainer",,"","",,"125","Ken Sugimori","Common",,"",,"https://images.pokemontcg.io/gym1/125.png","https://images.pokemontcg.io/gym1/125_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-126","Trash Exchange","Trainer",,"","",,"126","Keiji Kinebuchi","Common",,"",,"https://images.pokemontcg.io/gym1/126.png","https://images.pokemontcg.io/gym1/126_hires.png","Legal",,,"",,"","","","","","","","","","","","","","","",""
"gym1-127","Fighting Energy","Energy",,"","",,"127","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/127.png","https://images.pokemontcg.io/gym1/127_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"gym1-128","Fire Energy","Energy",,"","",,"128","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/128.png","https://images.pokemontcg.io/gym1/128_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"gym1-129","Grass Energy","Energy",,"","",,"129","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/129.png","https://images.pokemontcg.io/gym1/129_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"gym1-130","Lightning Energy","Energy",,"","",,"130","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/130.png","https://images.pokemontcg.io/gym1/130_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"gym1-131","Psychic Energy","Energy",,"","",,"131","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/131.png","https://images.pokemontcg.io/gym1/131_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
"gym1-132","Water Energy","Energy",,"","",,"132","Keiji Kinebuchi",,,"",,"https://images.pokemontcg.io/gym1/132.png","https://images.pokemontcg.io/gym1/132_hires.png","Legal","Legal","Legal","",,"","","","","","","","","","","","","","","",""
