#,id,name,supertype,hp,types,rarity,retreatCost,convertedRetreatCost,AbilityName,AbilityText,Attack1Name,Attack1Cost,Attack1ConvertedCost,Attack1Damage,DamageFormula,Attack1Text
6031,swsh3-155,Corvisquire,Pokemon,80,Colorless,Uncommon,Colorless,1,,,Fury Attack,"Colorless, Colorless, Colorless",3,40x,,Flip 3 coins. This attack does 40 damage for each heads.
6272,swsh4-135,Whismur,Pokemon,60,Colorless,Common,Colorless,1,,,Continuous Tumble,"Colorless, Colorless",2,40x,,Flip a coin until you get tails. This attack does 40 damage for each heads.
6379,swsh5-33,Kingdra,Pokemon,150,Water,Rare Holo,Colorless,1,Deep Sea King,"When your Active Pokemon is Knocked Out by damage from an attack from your opponent's Pokemon, you may move any amount of Water Energy from that Pokemon to this Pokemon.",Aqua Burst,Water,1,40x,,This attack does 40 damage for each Water Energy attached to this Pokemon.
6586,swsh6-70,Malamar,Pokemon,120,Psychic,Rare,"Colorless, Colorless, Colorless",3,,,Rapid Strike Tentacles,Psychic,1,40x,,"Reveal any number of Rapid Strike cards from your hand. This attack does 40 damage for each card you revealed in this way. Then, shuffle those cards into your deck."
6600,swsh6-84,Crabrawler,Pokemon,80,Fighting,Common,"Colorless, Colorless, Colorless",3,,,Double Lariat,"Fighting, Colorless",2,40x,,Flip 2 coins. This attack does 40 damage for each heads.
7042,swsh8-171,Zoroark,Pokemon,120,Darkness,Uncommon,"Colorless, Colorless",2,,,Double Claw,Colorless,1,40x,,Flip 2 coins. This attack does 40 damage for each heads.
992,sm2-24,Tentacruel,Pokemon,110,Water,Uncommon,"Colorless, Colorless",2,,,Seething Tentacles,"Colorless, Colorless, Colorless",3,40+,,"Flip a coin. If heads, this attack does 40 more damage. If tails, your opponent's Active Pokemon is now Paralyzed."
1113,sm2-104,Swellow,Pokemon,90,Colorless,Rare,Colorless,1,,,Swallow Dive,Colorless,1,40+,,"If this Pokemon used Agility during your last turn, this attack does 80 more damage."
1198,sm3-47,Togedemaru,Pokemon,80,Lightning,Common,Colorless,1,,,Electrosmash,"Lightning, Colorless",2,40+,,"Flip a coin. If heads, this attack does 20 more damage."
1405,sm4-23,Octillery,Pokemon,100,Water,Rare,"Colorless, Colorless",2,,,Special Artillery,"Water, Colorless",2,40+,,"You may discard a Special Energy from this Pokemon. If you do, this attack does 80 more damage."
1710,sm6-33,Araquanid,Pokemon,100,Water,Uncommon,Colorless,1,,,Bubble Trap,"Colorless, Colorless",2,40+,,"If 1 of your Pokemon used Bubble during your last turn, this attack does 80 more damage."
1859,sm7-42,Huntail,Pokemon,110,Water,Uncommon,Colorless,1,,,Dangerous Bite,"Water, Colorless, Colorless",3,40+,,"If your opponent's Active Pokemon is a Basic Pokemon, this attack does 80 more damage."
1881,sm7-58,Swalot,Pokemon,120,Psychic,Uncommon,"Colorless, Colorless",2,,,Swallow Up,"Psychic, Colorless, Colorless",3,40+,,"If, before doing damage, your opponent's Active Pokemon has less remaining HP than this Pokemon, this attack does 80 more damage."
1939,sm7-101,Kartana,Pokemon,60,Metal,Rare,Colorless,1,,,Divine Paper,"Metal, Metal",2,40+,,"If your opponent has exactly 6 Prize cards remaining, this attack does 90 more damage."
2071,sm8-30,Ninjask,Pokemon,80,Grass,Uncommon,,0,Molting,"When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may put a Shedinja from your discard pile onto your Bench.",X-Scissor,Grass,1,40+,,"Flip a coin. If heads, this attack does 40 more damage."
3585,sv3pt5-112,Rhydon,Pokemon,120,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Charismatic Drill,"Fighting, Fighting, Colorless",3,40+,,"If you played Giovanni's Charisma from your hand during this turn, this attack does 140 more damage."
4013,sv5-54,Electivire,Pokemon,140,Lightning,Uncommon,"Colorless, Colorless, Colorless",3,,,Short-Circuit Knuckle,"Colorless, Colorless",2,40+,,"If your opponent has any Water Pokemon in play, this attack does 120 more damage."
4075,sv5-95,Coalossal,Pokemon,180,Fighting,Uncommon,"Colorless, Colorless, Colorless, Colorless",4,,,Gatling Tar,Fighting,1,40+,,This attack does 80 more damage for each Fire Energy attached to this Pokemon.
4925,swsh10-7,Yanmega,Pokemon,120,Grass,Uncommon,,0,,,Wide Wing,"Colorless, Colorless",2,40+,,"If you have more cards in your hand than your opponent, this attack does 80 more damage."
4999,swsh10-69,Wyrdeer,Pokemon,140,Psychic,Rare Holo,"Colorless, Colorless",2,Hurried Gait,"Once during your turn, you may draw a card.",Extrasensory,"Colorless, Colorless",2,40+,,"If you have the same number of cards in your hand as your opponent, this attack does 80 more damage."
5008,swsh10-76,Cranidos,Pokemon,90,Fighting,Uncommon,"Colorless, Colorless",2,,,Stone Edge,"Fighting, Fighting",2,40+,,"Flip a coin. If heads, this attack does 40 more damage."
5248,swsh11-126,Bronzong,Pokemon,130,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Gravitational Drop,"Metal, Colorless, Colorless",3,40+,,This attack does 40 more damage for each Colorless in your opponent's Active Pokemon's Retreat Cost.
5345,swsh12-50,Raichu,Pokemon,120,Lightning,Uncommon,Colorless,1,,,Ambushing Spark,Colorless,1,40+,,"If your opponent has used their VSTAR Power during this game, this attack does 100 more damage."
5812,swsh2-149,Stufful,Pokemon,80,Colorless,Common,"Colorless, Colorless",2,,,Jump On,"Colorless, Colorless, Colorless",3,40+,,"Flip a coin. If heads, this attack does 40 more damage."
6506,swsh6-6,Heracross,Pokemon,120,Grass,Common,"Colorless, Colorless",2,,,Single-Horn Throw,"Grass, Colorless",2,40+,,"Flip 2 coins. If both of them are heads, this attack does 160 more damage."
6845,swsh8-27,Zarude,Pokemon,110,Grass,Uncommon,"Colorless, Colorless",2,,,Wild Whip,"Grass, Colorless",2,40+,,"Flip a coin. If heads, this attack does 30 more damage."
7258,swsh9-113,Druddigon,Pokemon,120,Dragon,Rare,"Colorless, Colorless",2,,,Revenge,"Fire, Water",2,40+,,"If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, this attack does 120 more damage."
7435,swshp-SWSH206,Wyrdeer,Pokemon,140,Psychic,Promo,"Colorless, Colorless",2,Hurried Gait,"Once during your turn, you may draw a card.",Extrasensory,"Colorless, Colorless",2,40+,,"If you have the same number of cards in your hand as your opponent, this attack does 80 more damage."
7474,swshp-SWSH274,Cranidos,Pokemon,90,Fighting,Promo,"Colorless, Colorless",2,,,Stone Edge,"Fighting, Fighting",2,40+,,"Flip a coin. If heads, this attack does 40 more damage."
47,sm1-31,Poliwhirl,Pokemon,90,Water,Uncommon,"Colorless, Colorless",2,,,Double Slap,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
70,sm1-47,Pyukumuku,Pokemon,60,Water,Uncommon,Colorless,1,Innards Out,"If this Pokemon is your Active Pokemon and is Knocked Out by damage from an opponent's attack, put 6 damage counters on the Attacking Pokemon.",Continuous Tumble,Water,1,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
81,sm1-53,Togedemaru,Pokemon,70,Lightning,Common,Colorless,1,,,Discharge,Lightning,1,30x,,Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way.
237,sm10-49,Seaking,Pokemon,100,Water,Rare,Colorless,1,,,Enhanced Horn,Water,1,30x,,"Flip 2 coins. This attack does 30 damage for each heads. If this Pokemon has a Pokemon Tool card attached to it, flip 6 coins instead."
248,sm10-56,Stunfisk,Pokemon,110,Lightning,Rare,"Colorless, Colorless, Colorless",3,,,Electric Trap,"Colorless, Colorless",2,30x,,This attack does 30 damage for each of your Pokemon that has any damage counters on it.
282,sm10-84,Sandslash,Pokemon,110,Fighting,Rare,Colorless,1,,,Continuous Scratch,Colorless,1,30x,,Flip 4 coins. This attack does 30 damage for each heads.
413,sm11-18,Steenee,Pokemon,90,Grass,Uncommon,"Colorless, Colorless",2,,,Double Slap,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
475,sm11-65,Eelektrik,Pokemon,90,Lightning,Uncommon,"Colorless, Colorless",2,,,Overspark,Lightning,1,30x,,Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way.
965,sm2-7,Trevenant,Pokemon,120,Grass,Rare,"Colorless, Colorless",2,,,Poltergeist,"Colorless, Colorless",2,30x,,Your opponent reveals their hand. This attack does 30 damage for each Trainer card you find there.
1050,sm2-62,Machop,Pokemon,70,Fighting,Common,"Colorless, Colorless",2,,,Dual Chop,"Fighting, Fighting",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
1068,sm2-75,Mudbray,Pokemon,80,Fighting,Common,"Colorless, Colorless",2,,,Double Kick,"Fighting, Fighting",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
1392,sm4-13,Numel,Pokemon,80,Fire,Common,"Colorless, Colorless, Colorless",3,,,Continuous Headbutt,"Fire, Colorless",2,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
1469,sm4-69,Escavalier,Pokemon,120,Metal,Rare,"Colorless, Colorless",2,,,Fury Attack,Metal,1,30x,,Flip 3 coins. This attack does 30 damage for each heads.
1506,sm5-4,Roselia,Pokemon,70,Grass,Common,Colorless,1,,,Petal Dance,"Grass, Colorless",2,30x,,Flip 3 coins. This attack does 30 damage for each heads. This Pokemon is now Confused.
1610,sm5-79,Alolan Dugtrio,Pokemon,60,Metal,Uncommon,Colorless,1,,,Gold Rush,,0,30x,,Discard any number of Metal Energy cards from your hand. This attack does 30 damage for each card you discarded in this way.
1804,sm7-2,Weepinbell,Pokemon,80,Grass,Uncommon,Colorless,1,,,Double Razor Leaf,"Grass, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
1840,sm7-27,Combusken,Pokemon,80,Fire,Uncommon,Colorless,1,,,Double Kick,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
1922,sm7-86,Sneasel,Pokemon,60,Darkness,Common,Colorless,1,,,Beat Up,"Darkness, Darkness",2,30x,,Flip a coin for each Pokemon you have in play. This attack does 30 damage for each heads.
2122,sm8-68,Mareanie,Pokemon,50,Water,Common,Colorless,1,,,Spike Cannon,Water,1,30x,,Flip 2 coins. This attack does 30 damage for each heads.
2397,sm9-108,Doublade,Pokemon,90,Metal,Uncommon,"Colorless, Colorless",2,,,Tool Drop,"Colorless, Colorless",2,30x,,This attack does 30 damage for each Pokemon Tool card attached to all Pokemon.
2442,smp-SM09,Togedemaru,Pokemon,70,Lightning,Promo,Colorless,1,,,Discharge,Lightning,1,30x,,Discard all Lightning Energy from this Pokemon. This attack does 30 damage for each card you discarded in this way.
2676,smp-SM235,Eevee,Pokemon,60,Colorless,Promo,Colorless,1,,,Running Charge,"Colorless, Colorless",2,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
2730,sv1-30,Growlithe,Pokemon,70,Fire,Common,"Colorless, Colorless",2,,,Relentless Flames,Fire,1,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
2818,sv1-89,Drifloon,Pokemon,70,Psychic,Common,Colorless,1,,,Balloon Blast,"Psychic, Psychic",2,30x,,This attack does 30 damage for each damage counter on this Pokemon.
2916,sv1-160,Tandemaus,Pokemon,40,Colorless,Common,Colorless,1,,,Double Hit,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
2935,sv2-9,Vespiquen,Pokemon,120,Grass,Uncommon,"Colorless, Colorless",2,,,Double Stab,Colorless,1,30x,,Flip 2 coins. This attack does 30 damage for each heads.
2958,sv2-26,Rellor,Pokemon,50,Grass,Common,Colorless,1,,,Ball Roll,"Colorless, Colorless",2,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
3274,sv3-81,Clefairy,Pokemon,60,Psychic,Common,Colorless,1,,,Slap Slap,"Psychic, Psychic",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
3286,sv3-89,Mawile,Pokemon,100,Psychic,Common,"Colorless, Colorless",2,,,Mischievous Crunch,Psychic,1,30x,,This attack does 30 damage for each Psychic Energy attached to this Pokemon.
3570,sv3pt5-102,Exeggcute,Pokemon,60,Grass,Common,Colorless,1,,,Ball Roll,"Colorless, Colorless",2,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
3653,sv4-12,Orbeetle,Pokemon,130,Grass,Uncommon,Colorless,1,,,Satellite Beam,Grass,1,30x,,This attack does 30 damage for each Energy card in your opponent's discard pile.
3845,sv4pt5-3,Maractus,Pokemon,110,Grass,Common,"Colorless, Colorless",2,,,Pin Missile,"Colorless, Colorless, Colorless",3,30x,,Flip 4 coins. This attack does 30 damage for each heads.
3947,sv5-4,Nuzleaf,Pokemon,90,Grass,Common,Colorless,1,,,Comet Slap,"Colorless, Colorless",2,30x,,Flip 3 coins. This attack does 30 damage for each heads.
4039,sv5-71,Duosion,Pokemon,80,Psychic,Common,"Colorless, Colorless",2,,,Double Trick,Colorless,1,30x,,Flip 2 coins. This attack does 30 damage for each heads.
4097,sv5-110,Forretress,Pokemon,130,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Spike Cannon,Metal,1,30x,,Flip 3 coins. This attack does 30 damage for each heads.
4110,sv5-119,Koraidon,Pokemon,140,Dragon,Rare,"Colorless, Colorless",2,,,Primordial Beatdown,"Fighting, Colorless",2,30x,,This attack does 30 damage for each of your Ancient Pokemon in play.
4195,sv6-38,Chandelure,Pokemon,130,Fire,Rare,"Colorless, Colorless",2,Alluring Light,"Once during your turn, you may have each player draw a card.",Mind Ruler,Fire,1,30x,,This attack does 30 damage for each card in your opponent's hand.
4201,sv6-42,Poliwhirl,Pokemon,100,Water,Common,"Colorless, Colorless",2,,,Double Slap,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
4275,sv6-96,Fezandipiti,Pokemon,120,Psychic,Rare,Colorless,1,Adrena-Pheromone,"If this Pokemon has any Darkness Energy attached and is damaged by an attack, flip a coin. If heads, prevent that damage.",Energy Feather,Psychic,1,30x,,This attack does 30 damage for each Energy attached to this Pokemon.
4663,svp-91,Koraidon,Pokemon,140,Dragon,Promo,"Colorless, Colorless",2,,,Primordial Beatdown,"Fighting, Colorless",2,30x,,This attack does 30 damage for each of your Ancient Pokemon in play.
4814,swsh1-77,Pincurchin,Pokemon,80,Lightning,Common,"Colorless, Colorless",2,,,Shocking Needles,"Lightning, Lightning",2,30x,,"Flip 4 coins. This attack does 30 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokemon is now Paralyzed."
4884,swsh1-131,Ferrothorn,Pokemon,130,Metal,Uncommon,"Colorless, Colorless",2,,,Triple Smash,Colorless,1,30x,,Flip 3 coins. This attack does 30 damage for each heads.
5015,swsh10-82,Hisuian Decidueye,Pokemon,160,Fighting,Rare Holo,"Colorless, Colorless",2,,,Piercing Claw,,0,30x,,This attack does 30 damage for each damage counter on your opponent's Active Pokemon.
5073,swsh10-132,Hisuian Braviary,Pokemon,130,Colorless,Rare,Colorless,1,,,Psywave,,0,30x,,This attack does 30 damage for each Energy attached to your opponent's Active Pokemon.
5444,swsh12-129,Dratini,Pokemon,70,Dragon,Common,"Colorless, Colorless",2,,,Slam,"Colorless, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
5608,swsh12pt5-121,Wooloo,Pokemon,70,Colorless,Common,Colorless,1,,,Rolling Rollout,Colorless,1,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
5753,swsh2-109,Falinks,Pokemon,90,Fighting,Uncommon,Colorless,1,,,Team Attack,"Colorless, Colorless",2,30x,,"This attack does 30 damage for each of your Benched Pokemon that has ""Falinks"" in its name."
5766,swsh2-120,Mandibuzz,Pokemon,120,Darkness,Rare,"Colorless, Colorless",2,,,Bone Rush,Darkness,1,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
5807,swsh2-147,Diggersby,Pokemon,130,Colorless,Rare,"Colorless, Colorless, Colorless",3,,,Mining Rush,"Colorless, Colorless, Colorless",3,30x,,"Discard up to 6 cards from the top of your deck. If you do, this attack does 30 damage for each card you discarded in this way."
5923,swsh3-74,Gothorita,Pokemon,80,Psychic,Uncommon,"Colorless, Colorless",2,,,Double Spin,"Psychic, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
6199,swsh4-86,Phanpy,Pokemon,70,Fighting,Common,"Colorless, Colorless",2,,,Strike Back,"Fighting, Colorless",2,30x,,This attack does 30 damage for each damage counter on this Pokemon.
6238,swsh4-111,Garbodor,Pokemon,120,Darkness,Rare,"Colorless, Colorless, Colorless",3,,,Trash Cyclone,"Colorless, Colorless",2,30x,,"This attack does 30 damage for each Pokemon Tool card in your discard pile. Then, shuffle those cards into your deck."
6258,swsh4-124,Ferrothorn,Pokemon,110,Metal,Uncommon,"Colorless, Colorless, Colorless",3,,,Swift Swing,Metal,1,30x,,This attack does 30 damage for each Metal Energy attached to this Pokemon. Switch this Pokemon with 1 of your Benched Pokemon.
6440,swsh5-76,Mienfoo,Pokemon,60,Fighting,Common,Colorless,1,,,Double Stab,"Fighting, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
6518,swsh6-16,Grookey,Pokemon,60,Grass,Common,Colorless,1,,,Hit Twice,"Grass, Colorless",2,30x,,Flip 2 coins. This attack does 30 damage for each heads.
6554,swsh6-44,Rapid Strike Urshifu,Pokemon,140,Water,Rare Holo,"Colorless, Colorless",2,,,Rapid-Fisted Rush,"Water, Colorless",2,30x,,This attack does 30 damage for each of your Rapid Strike Pokemon in play.
6637,swsh6-117,Porygon2,Pokemon,90,Colorless,Uncommon,"Colorless, Colorless",2,,,Tri Attack,"Colorless, Colorless",2,30x,,Flip 3 coins. This attack does 30 damage for each heads.
6982,swsh8-130,Dragapult,Pokemon,150,Psychic,Rare Holo,,0,,,Fusion Strike Assault,Psychic,1,30x,,This attack does 30 damage for each of your Fusion Strike Pokemon in play.
7057,swsh8-179,Morpeko,Pokemon,50,Darkness,Common,Colorless,1,,,Explosive Discontent,Darkness,1,30x,,This attack does 30 damage for each damage counter on this Pokemon.
7097,swsh8-205,Eevee,Pokemon,50,Colorless,Common,Colorless,1,,,Continuous Steps,Colorless,1,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
7101,swsh8-208,Stantler,Pokemon,110,Colorless,Uncommon,Colorless,1,,,Wild Dive,"Colorless, Colorless",2,30x,,This attack does 30 damage for each Energy attached to your opponent's Active Pokemon.
7115,swsh8-220,Corvisquire,Pokemon,80,Colorless,Uncommon,Colorless,1,,,Fury Attack,"Colorless, Colorless",2,30x,,Flip 3 coins. This attack does 30 damage for each heads.
7181,swsh9-52,Pachirisu,Pokemon,70,Lightning,Uncommon,Colorless,1,,,Windup Thunder,"Lightning, Colorless",2,30x,,This attack does 30 damage for each Pokemon Tool attached to all of your Pokemon.
7289,swshp-SWSH020,Pikachu,Pokemon,70,Lightning,Promo,Colorless,1,,,Iron Tail,"Colorless, Colorless",2,30x,,Flip a coin until you get tails. This attack does 30 damage for each heads.
7380,swshp-SWSH117,Phanpy,Pokemon,70,Fighting,Promo,"Colorless, Colorless",2,,,Strike Back,"Fighting, Colorless",2,30x,,This attack does 30 damage for each damage counter on this Pokemon.
18,sm1-11,Decidueye,Pokemon,140,Grass,Rare,Colorless,1,,,Leaf Blade,Grass,1,30+,,"Flip a coin. If heads, this attack does 30 more damage."
46,sm1-30,Poliwag,Pokemon,60,Water,Common,Colorless,1,,,Hydro Pump,"Colorless, Colorless, Colorless",3,30+,,This attack does 10 more damage times the amount of Water Energy attached to this Pokemon.
52,sm1-34,Cloyster,Pokemon,120,Water,Rare,"Colorless, Colorless, Colorless",3,,,Headlock,"Water, Colorless",2,30+,,"Flip a coin. If heads, this attack does 30 more damage. If tails, your opponent's Active Pokemon is now Paralyzed."
119,sm1-79,Alolan Persian,Pokemon,90,Darkness,Uncommon,Colorless,1,,,Claw Rend,Darkness,1,30+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 30 more damage."
148,sm1-99,Kangaskhan,Pokemon,130,Colorless,Rare Holo,"Colorless, Colorless, Colorless",3,,,Cross-Cut,Colorless,1,30+,,"If your opponent's Active Pokemon is an Evolution Pokemon, this attack does 30 more damage."
268,sm10-72,Hypno,Pokemon,110,Psychic,Rare,"Colorless, Colorless",2,Hypnotic Pendulum,"When your opponent's Active Pokemon is Knocked Out, flip a coin. If heads, choose which of your opponent's Benched Pokemon becomes their new Active Pokemon.",Stir the Brain,"Psychic, Colorless, Colorless",3,30+,,This attack does 10 more damage for each card in your opponent's hand.
285,sm10-86,Dugtrio,Pokemon,90,Fighting,Rare,Colorless,1,,,Home Ground,Fighting,1,30+,,"If you have any Stadium card in play, this attack does 60 more damage."
306,sm10-98,Gligar,Pokemon,60,Fighting,Common,"Colorless, Colorless",2,Free Flight,"If this Pokemon has no Energy attached to it, it has no Retreat Cost.",Shinobi Strike,"Colorless, Colorless, Colorless",3,30+,,"If you played Janine from your hand during this turn, this attack does 90 more damage."
315,sm10-104,Crabrawler,Pokemon,80,Fighting,Common,"Colorless, Colorless",2,,,Knuckle Blast,"Fighting, Colorless, Colorless",3,30+,,"If you have more Prize cards remaining than your opponent, this attack does 60 more damage."
316,sm10-105,Crabominable,Pokemon,140,Fighting,Rare,"Colorless, Colorless, Colorless, Colorless",4,,,Fight Alone,"Colorless, Colorless",2,30+,,"If you have fewer Pokemon in play than your opponent, this attack does 50 more damage for each Pokemon fewer you have in play."
477,sm11-67,Stunfisk,Pokemon,90,Lightning,Common,Colorless,1,,,Trap Bolt,Fighting,1,30+,,"If, before doing damage, your opponent's Active Pokemon has more remaining HP than this Pokemon, this attack does 30 more damage."
482,sm11-70,Xurkitree,Pokemon,120,Lightning,Rare,"Colorless, Colorless",2,,,Three Mirrors,Lightning,1,30+,,"If your opponent has exactly 3 Prize cards remaining, this attack does 90 more damage."
531,sm11-108,Breloom,Pokemon,120,Fighting,Uncommon,"Colorless, Colorless",2,,,Pre-Dawn Strike,Grass,1,30+,,"If your opponent's Active Pokemon is Asleep, this attack does 90 more damage."
554,sm11-123,Meloetta,Pokemon,90,Fighting,Rare,Colorless,1,,,Shooting Star Pirouette,"Colorless, Colorless",2,30+,,Flip a coin until you get tails. This attack does 30 more damage for each heads.
635,sm11-183,Type: Null,Pokemon,100,Colorless,Uncommon,Colorless,1,,,Quick Blow,"Colorless, Colorless",2,30+,,"Flip a coin. If heads, this attack does 30 more damage."
636,sm11-184,Silvally,Pokemon,130,Colorless,Rare Holo,"Colorless, Colorless",2,,,Avenging Heart,"Colorless, Colorless",2,30+,,This attack does 50 more damage for each Prize card your opponent took on their last turn.
714,sm12-14,Kricketune,Pokemon,100,Grass,Uncommon,"Colorless, Colorless",2,,,Improvisational Performance,Grass,1,30+,,"If you have exactly 1 card in your hand, this attack does 100 more damage. If you have exactly 3 cards in your hand, your opponent's Active Pokemon is now Confused. If you have exactly 6 cards in your hand, this attack does 30 damage to each of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
733,sm12-28,Entei,Pokemon,130,Fire,Rare,"Colorless, Colorless",2,,,Rally Back,"Fire, Colorless",2,30+,,"If any of your Pokemon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage."
859,sm12-115,Excadrill,Pokemon,140,Fighting,Rare Holo,"Colorless, Colorless, Colorless, Colorless",4,,,Eleventh Hour Tackle,Fighting,1,30+,,"If there are 3 or fewer cards in your deck, this attack does 150 more damage."
863,sm12-118,Throh,Pokemon,120,Fighting,Uncommon,"Colorless, Colorless",2,,,Reverse Shoulder Throw,"Fighting, Colorless",2,30+,,"If your Benched Pokemon have any damage counters on them, this attack does 90 more damage."
951,sm12-180,Heliolisk,Pokemon,100,Colorless,Rare,Colorless,1,,,Parabolic Counter,Colorless,1,30+,,"If your opponent has any Lightning Pokemon in play, this attack does 90 more damage."
1008,sm2-34,Vanillish,Pokemon,80,Water,Uncommon,"Colorless, Colorless",2,,,Ice Shard,Water,1,30+,,"If your opponent's Active Pokemon is a Fighting Pokemon, this attack does 30 more damage."
1052,sm2-64,Machoke,Pokemon,100,Fighting,Uncommon,"Colorless, Colorless, Colorless",3,Daunting Pose,Prevent all damage done to your Benched Pokemon by your opponent's attacks. Your opponent's attacks and Abilities can't put damage counters on your Benched Pokemon.,Cross Chop,"Fighting, Fighting",2,30+,,"Flip a coin. If heads, this attack does 30 more damage."
1060,sm2-69,Nosepass,Pokemon,80,Fighting,Common,"Colorless, Colorless, Colorless",3,,,Rising Lunge,"Fighting, Colorless, Colorless",3,30+,,"Flip a coin. If heads, this attack does 30 more damage."
1206,sm3-52,Dusclops,Pokemon,90,Psychic,Uncommon,"Colorless, Colorless, Colorless",3,,,Ambush,"Psychic, Colorless, Colorless",3,30+,,"Flip a coin. If heads, this attack does 30 more damage."
1207,sm3-53,Dusknoir,Pokemon,150,Psychic,Rare Holo,"Colorless, Colorless, Colorless",3,Dark Invitation,"Once during your turn (before your attack), you may have your opponent reveal their hand. Put a Basic Pokemon you find there onto your opponent's Bench, and put 3 damage counters on that Pokemon.",Mind Jack,"Psychic, Colorless, Colorless",3,30+,,This attack does 30 more damage for each of your opponent's Benched Pokemon.
1240,sm3-75,Lycanroc,Pokemon,110,Fighting,Rare Holo,"Colorless, Colorless",2,,,Dangerous Claws,Fighting,1,30+,,"If your opponent's Active Pokemon is a Basic Pokemon, this attack does 30 more damage."
1309,sm35-7,Shaymin,Pokemon,70,Grass,Rare Holo,Colorless,1,,,Rally Back,"Grass, Colorless",2,30+,,"If any of your Pokemon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage."
1382,sm4-6,Cacturne,Pokemon,110,Grass,Rare,"Colorless, Colorless",2,,,Spike Rend,Grass,1,30+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 60 more damage."
1481,sm4-77,Kommo-o,Pokemon,160,Dragon,Rare,"Colorless, Colorless",2,,,War Cry,"Colorless, Colorless",2,30+,,"If you have fewer Pokemon in play than your opponent, this attack does 90 more damage."
1662,sm5-115,Type: Null,Pokemon,110,Colorless,Rare,"Colorless, Colorless",2,,,Merciless Strike,"Colorless, Colorless",2,30+,,"If your opponent's Active Pokemon already has any damage counters on it, this attack does 30 more damage."
1729,sm6-45,Meowstic,Pokemon,90,Psychic,Rare,Colorless,1,,,Psychic,"Psychic, Colorless",2,30+,,This attack does 30 more damage times the amount of Energy attached to your opponent's Active Pokemon.
1764,sm6-71,Zygarde,Pokemon,90,Fighting,Uncommon,Colorless,1,Earthen Aura,Damage from this Pokemon's attacks isn't affected by Weakness or Resistance.,Peace Maker,Fighting,1,30+,,"If your opponent has an Ultra Beast in play, this attack does 30 more damage."
1770,sm6-77,Buzzwole,Pokemon,130,Fighting,Rare,"Colorless, Colorless",2,,,Sledgehammer,Fighting,1,30+,,"If your opponent has exactly 4 Prize cards remaining, this attack does 90 more damage."
1784,sm6-88,Dedenne,Pokemon,60,Fairy,Uncommon,Colorless,1,,,Electrichain,"Colorless, Colorless",2,30+,,"If you have any Lightning Pokemon on your Bench, this attack does 30 more damage."
1942,sm7-105,Shelgon,Pokemon,90,Dragon,Uncommon,"Colorless, Colorless, Colorless",3,,,Raging Blade,"Fire, Water",2,30+,,"If this Pokemon has any damage counters on it, this attack does 50 more damage."
1971,sm75-9,Darmanitan,Pokemon,130,Fire,Uncommon,"Colorless, Colorless",2,,,Darmani-Hands,"Fire, Fire, Colorless",3,30+,,Flip 4 coins. This attack does 50 more damage for each heads.
2036,sm8-2,Tangrowth,Pokemon,140,Grass,Rare,"Colorless, Colorless, Colorless",3,,,Hefty Whip,"Grass, Colorless, Colorless",3,30+,,"If this Pokemon was healed during this turn, this attack does 130 more damage."
